match,bowlingTeam,bowlerName,overs,maiden,runs,wickets,economy,0s,4s,6s,wides,noBalls,match_id
Sri Lanka Vs Namibia,Sri Lanka,Maheesh Theekshana,4,0,23,1,5.75,7,0,0,2,0,T20I # 1823
Sri Lanka Vs Namibia,Sri Lanka,Dushmantha Chameera,4,0,39,1,9.75,6,3,1,2,0,T20I # 1823
Sri Lanka Vs Namibia,Sri Lanka,Pramod Madushan,4,0,37,2,9.25,6,3,1,0,0,T20I # 1823
Sri Lanka Vs Namibia,Sri Lanka,Chamika Karunaratne,4,0,36,1,9.00,7,3,1,1,0,T20I # 1823
Sri Lanka Vs Namibia,Sri Lanka,Wanindu Hasaranga,4,0,27,1,6.75,8,1,1,0,0,T20I # 1823
Sri Lanka Vs Namibia,Namibia,Gerhard Erasmus,1,0,8,0,8.00,1,1,0,0,0,T20I # 1823
Sri Lanka Vs Namibia,Namibia,David Wiese,4,0,16,2,4.00,13,1,0,0,0,T20I # 1823
Sri Lanka Vs Namibia,Namibia,Bernard Scholtz,4,0,18,2,4.50,10,1,0,0,0,T20I # 1823
Sri Lanka Vs Namibia,Namibia,Ben Shikongo,3,1,22,2,7.33,6,3,0,0,0,T20I # 1823
Sri Lanka Vs Namibia,Namibia,JJ Smit,3,0,16,1,5.33,7,0,0,1,0,T20I # 1823
Sri Lanka Vs Namibia,Namibia,Jan Frylinck,4,0,26,2,6.50,10,0,2,1,0,T20I # 1823
Netherlands Vs U.A.E.,Netherlands,Fred Klaassen,4,0,13,2,3.25,18,0,0,3,0,T20I # 1825
Netherlands Vs U.A.E.,Netherlands,Tim Pringle,4,0,13,1,3.25,11,0,0,0,0,T20I # 1825
Netherlands Vs U.A.E.,Netherlands,Logan van Beek,2,0,19,0,9.50,5,0,2,1,0,T20I # 1825
Netherlands Vs U.A.E.,Netherlands,Bas de Leede,3,0,19,3,6.33,9,2,0,2,0,T20I # 1825
Netherlands Vs U.A.E.,Netherlands,Paul van Meekeren,4,0,21,0,5.25,11,1,0,0,0,T20I # 1825
Netherlands Vs U.A.E.,Netherlands,Roelof van der Merwe,3,0,19,1,6.33,7,0,1,0,0,T20I # 1825
Netherlands Vs U.A.E.,U.A.E.,Junaid Siddique,4,0,24,3,6.00,10,2,0,1,0,T20I # 1825
Netherlands Vs U.A.E.,U.A.E.,Basil Hameed,1,0,7,1,7.00,4,0,1,0,0,T20I # 1825
Netherlands Vs U.A.E.,U.A.E.,Aayan Afzal Khan,3,0,15,1,5.00,8,1,0,0,0,T20I # 1825
Netherlands Vs U.A.E.,U.A.E.,Karthik Meiyappan,4,0,22,1,5.50,11,2,0,0,0,T20I # 1825
Netherlands Vs U.A.E.,U.A.E.,Zahoor Khan,4,0,11,1,2.75,14,0,0,0,0,T20I # 1825
Netherlands Vs U.A.E.,U.A.E.,Zawar Farid,2.5,0,24,0,8.47,2,2,0,0,0,T20I # 1825
Netherlands Vs U.A.E.,U.A.E.,Kashif Daud,1,0,5,0,5.00,1,0,0,0,0,T20I # 1825
West Indies Vs Scotland,West Indies,Kyle Mayers,2,0,24,0,12.00,5,5,0,2,0,T20I # 1826
West Indies Vs Scotland,West Indies,Akeal Hosein,4,0,31,0,7.75,8,2,1,0,0,T20I # 1826
West Indies Vs Scotland,West Indies,Alzarri Joseph,4,0,28,2,7.00,9,3,0,2,0,T20I # 1826
West Indies Vs Scotland,West Indies,Obed McCoy,3,0,25,0,8.33,6,4,0,0,0,T20I # 1826
West Indies Vs Scotland,West Indies,Jason Holder,3,0,14,2,4.66,8,1,0,0,0,T20I # 1826
West Indies Vs Scotland,West Indies,Odean Smith,4,0,31,1,7.75,6,3,0,1,0,T20I # 1826
West Indies Vs Scotland,Scotland,Mark Watt,4,0,12,3,3.00,16,1,0,1,0,T20I # 1826
West Indies Vs Scotland,Scotland,Brad Wheal,4,0,32,2,8.00,10,4,1,0,0,T20I # 1826
West Indies Vs Scotland,Scotland,Josh Davey,3,0,34,1,11.33,8,4,2,1,0,T20I # 1826
West Indies Vs Scotland,Scotland,Safyaan Sharif,3.3,0,23,1,6.57,7,2,0,2,0,T20I # 1826
West Indies Vs Scotland,Scotland,Michael Leask,4,0,15,2,3.75,11,0,0,1,0,T20I # 1826
Ireland Vs Zimbabwe,Ireland,Josh Little,4,0,24,3,6.00,11,3,0,0,0,T20I # 1828
Ireland Vs Zimbabwe,Ireland,Mark Adair,4,0,39,2,9.75,6,3,1,2,0,T20I # 1828
Ireland Vs Zimbabwe,Ireland,Barry McCarthy,4,0,24,0,6.00,11,2,0,2,0,T20I # 1828
Ireland Vs Zimbabwe,Ireland,Curtis Campher,3,0,29,0,9.66,6,2,2,0,0,T20I # 1828
Ireland Vs Zimbabwe,Ireland,Simi Singh,3,0,31,2,10.33,5,2,2,1,0,T20I # 1828
Ireland Vs Zimbabwe,Ireland,Gareth Delany,2,0,21,0,10.50,4,2,1,1,0,T20I # 1828
Ireland Vs Zimbabwe,Zimbabwe,Richard Ngarava,4,0,22,2,5.50,13,3,0,0,0,T20I # 1828
Ireland Vs Zimbabwe,Zimbabwe,Tendai Chatara,4,0,22,2,5.50,13,1,1,2,0,T20I # 1828
